user_id,phone,age,gender,city,registration_date,tenure_months,plan_type,plan_name,monthly_spend_usd,data_quota_gb,data_usage_gb,data_usage_pct,voice_minutes,sms_sent,app_logins_last_30d,days_since_last_topup,complaints_last_90d,support_tickets,nps_score,avg_speed_mbps,dropped_calls_last_30d,device_brand,churn_probability,churned
USR000001,+62853-3734-****,36,F,Bandung,2025-12-12,4,postpaid,starter,10.0,15,9.23,61.5,172,24,16,1,0,0,9,1.0,2,Oppo,0.151,0
USR000002,+62813-7873-****,33,M,Palembang,2025-02-22,14,prepaid,mini_1gb,0.7,1,0.64,64.1,157,9,9,4,1,0,8,30.7,1,Xiaomi,0.119,1
USR000003,+62812-4104-****,39,M,Jakarta,2025-07-18,9,postpaid,starter,10.0,15,10.39,69.3,211,8,10,0,1,2,5,35.3,1,Oppo,0.149,1
USR000004,+62821-4157-****,46,F,Bandung,2024-09-09,19,postpaid,starter,10.0,15,5.54,36.9,75,5,7,1,1,0,8,17.2,2,Realme,0.12,0
USR000005,+62853-2495-****,41,F,Jakarta,2024-10-28,18,prepaid,monthly_20gb,6.7,20,14.64,73.2,125,2,9,8,1,0,8,10.8,0,Oppo,0.135,0
USR000006,+62853-3327-****,25,M,Jakarta,2023-12-07,29,prepaid,mini_1gb,0.7,1,0.61,61.3,144,0,10,5,0,0,7,46.6,0,Oppo,0.261,1
USR000007,+62813-6423-****,46,F,Jakarta,2025-07-22,9,prepaid,daily_5gb,1.3,5,4.99,99.8,157,22,9,0,0,0,5,17.2,4,Xiaomi,0.141,0
USR000008,+62821-5496-****,42,M,Jakarta,2022-08-18,45,prepaid,monthly_50gb,13.3,50,34.41,68.8,223,38,14,2,2,0,6,1.0,2,Xiaomi,0.279,1
USR000009,+62853-4444-****,38,F,Jakarta,2018-10-03,92,prepaid,weekly_10gb,3.3,10,12.0,120.0,138,8,13,9,0,0,8,39.8,0,Infinix,0.072,0
USR000010,+62821-2841-****,30,F,Denpasar,2025-08-08,8,prepaid,daily_5gb,1.3,5,4.18,83.5,114,3,14,0,0,1,8,35.6,3,Oppo,0.165,0
USR000011,+62853-5142-****,24,M,Medan,2026-03-28,1,postpaid,starter,10.0,15,10.48,69.9,155,11,14,0,2,0,6,5.1,3,Apple,0.682,1
